Motion Through Fluids Experiment Wed, Feb 12, 2020 10:11 AM
Time(sec)	Position(mm)
0.008	16.530
0.108	27.465
0.158	33.479
0.208	39.494
0.258	45.508
0.308	51.522
0.358	57.536
0.408	63.550
0.458	69.564
0.508	76.125
0.558	82.686
0.608	88.701
0.658	94.715
0.708	101.276
0.758	107.837
0.808	113.851
0.858	120.412
0.908	126.973
0.958	132.987
1.008	139.548
1.058	145.562
1.108	152.123
1.158	158.684
1.208	164.698
1.258	171.259
1.308	177.820
1.358	183.834
1.408	190.395
1.458	196.956
1.508	202.970
1.558	209.531
1.609	215.545
1.658	222.106
1.708	228.120
1.758	234.681
1.808	241.242
1.860	247.256
1.908	253.817
1.958	0.000
2.008	0.000
2.058	0.000
2.108	0.000
2.158	0.000
2.208	0.000
2.258	0.000
2.308	0.000
2.358	0.000
2.408	0.000
2.458	0.000
2.508	0.000
2.558	0.000
2.608	0.000
2.658	0.000
2.708	0.000
