Motion Through Fluids Experiment Wed, Feb 12, 2020 10:39 AM
Time(sec)	Position(mm)
0.022	0.000
0.122	0.000
0.222	0.000
0.322	0.000
0.422	0.000
0.522	0.000
0.622	0.000
0.722	0.000
0.822	0.675
0.922	2.862
1.022	5.595
1.122	7.782
1.222	10.516
1.322	13.250
1.422	15.437
1.522	18.171
1.622	20.904
1.722	23.638
1.822	26.372
1.922	28.559
2.022	31.292
2.123	34.026
2.222	36.760
2.322	38.947
2.422	41.681
2.522	43.868
2.622	46.601
2.722	49.335
2.822	52.069
2.922	54.256
3.022	56.989
3.122	59.723
3.222	62.457
3.323	64.644
3.422	67.378
3.522	70.111
3.623	72.298
3.722	75.032
3.822	77.766
3.922	79.953
4.022	82.686
4.122	85.420
4.222	88.154
4.323	90.341
4.422	93.074
4.522	95.808
4.622	97.995
4.722	100.729
4.822	103.463
4.922	106.196
5.022	108.383
5.122	111.117
5.222	113.851
5.322	116.038
5.422	118.771
5.522	120.958
5.622	123.692
5.722	126.426
5.822	128.613
5.922	131.347
6.022	134.080
6.122	136.267
6.222	139.001
6.322	141.735
6.423	144.468
6.522	146.655
6.622	149.389
6.722	151.576
6.822	154.310
6.922	157.043
7.022	159.230
7.122	161.964
7.222	164.698
7.322	166.885
7.422	169.619
7.522	172.352
7.622	175.086
7.722	177.273
7.822	180.007
7.922	182.194
8.022	184.927
8.122	187.661
8.222	190.395
8.323	192.582
8.422	195.316
8.522	197.502
8.622	200.236
8.722	202.970
8.822	205.157
8.922	207.891
9.022	210.078
9.122	212.811
9.222	214.998
9.322	217.732
9.422	220.466
9.522	223.199
9.622	225.386
9.722	228.120
9.822	230.307
9.922	233.041
10.022	235.775
10.122	237.962
10.222	240.695
10.322	243.429
10.422	245.616
10.522	248.350
10.622	250.537
10.722	253.270
10.822	254.911
10.922	0.000
11.022	0.000
11.122	0.000
11.222	0.000
11.322	0.000
11.422	0.000
11.522	0.000
11.622	0.000
11.722	0.000
11.822	0.000
11.922	0.000
