Motion Through Fluids Experiment Wed, Feb 12, 2020 10:48 AM
Time(sec)	Position(mm)
0.114	0.000
0.314	0.000
0.514	0.000
0.714	0.675
0.914	1.768
1.114	3.409
1.314	5.049
1.514	6.142
1.714	7.782
1.914	8.876
2.114	10.516
2.314	12.156
2.514	13.250
2.715	14.890
2.914	15.984
3.114	17.624
3.314	19.264
3.514	20.358
3.714	21.998
3.914	23.091
4.114	24.732
4.314	25.825
4.514	27.465
4.714	28.559
4.914	30.199
5.114	31.839
5.314	32.933
5.514	34.573
5.714	35.666
5.914	37.307
6.114	38.947
6.314	40.040
6.514	41.681
6.714	42.774
6.914	44.414
7.114	46.055
7.314	47.148
7.514	48.788
7.714	49.882
7.914	51.522
8.114	52.615
8.314	54.256
8.514	55.349
8.714	56.989
8.914	58.630
9.114	59.723
9.314	61.363
9.514	62.457
9.714	64.097
9.914	65.191
10.114	66.831
10.314	68.471
10.514	69.564
10.715	71.205
10.914	72.298
11.114	73.938
11.314	75.032
11.514	76.672
11.715	77.766
11.914	79.406
12.114	81.046
12.314	82.140
12.514	83.780
12.714	85.420
12.914	86.514
13.114	88.154
13.314	89.247
13.514	90.887
13.714	91.981
13.914	93.621
14.114	94.715
14.314	96.355
14.514	97.448
14.714	99.089
14.914	100.729
15.114	101.822
15.314	103.463
15.514	104.556
15.714	106.196
15.914	107.837
16.114	108.930
16.314	110.570
16.514	111.664
16.714	113.304
16.914	114.397
17.114	116.038
17.314	117.678
17.514	118.771
17.714	120.412
17.914	121.505
18.115	123.145
18.314	124.239
18.514	125.879
18.714	126.973
18.914	128.613
19.114	129.706
19.314	131.347
19.514	132.987
19.714	134.080
19.914	135.720
20.114	136.814
20.314	138.454
20.514	139.548
20.714	141.188
20.914	142.281
21.114	143.922
21.314	145.562
21.514	146.655
21.714	148.296
21.914	149.389
22.114	151.029
22.314	152.123
22.514	153.763
22.714	155.403
22.914	156.497
23.114	158.137
23.315	159.230
23.514	160.871
23.714	161.964
23.914	163.604
24.114	164.698
24.314	166.338
24.514	167.432
24.714	169.072
24.914	170.712
25.115	171.806
25.314	173.446
25.514	174.539
25.715	176.179
25.914	177.273
26.114	178.913
26.315	180.007
26.514	181.647
26.714	183.287
26.914	184.381
27.114	186.021
27.314	187.114
27.514	188.755
27.714	189.848
27.914	191.488
28.114	192.582
28.314	194.222
28.514	195.862
28.714	196.956
28.914	198.596
29.115	199.689
29.314	201.330
29.514	202.423
29.714	204.063
29.914	205.157
30.114	206.797
30.314	207.891
30.514	209.531
30.714	210.624
30.914	212.265
31.114	213.358
31.314	214.998
31.514	216.638
31.714	217.732
31.914	219.372
32.114	220.466
32.314	222.106
32.514	223.199
32.714	224.840
32.914	225.933
33.114	227.573
33.314	228.667
33.514	230.307
33.714	231.401
33.914	233.041
34.114	234.681
34.314	235.775
34.515	236.868
34.714	238.508
34.914	240.148
35.114	241.242
35.314	242.882
35.514	243.976
35.714	245.616
35.914	246.709
36.114	248.350
36.314	249.443
36.514	251.083
36.714	252.177
36.914	253.817
37.114	254.911
37.314	0.000
37.514	0.000
37.714	0.000
