Motion Through Fluids Experiment Wed, Feb 12, 2020 10:14 AM
Time(sec)	Position(mm)
0.049	5.049
0.099	9.969
0.149	14.890
0.199	20.904
0.249	26.372
0.299	31.839
0.349	36.760
0.399	41.681
0.449	47.695
0.499	53.162
0.549	58.630
0.599	64.644
0.649	70.111
0.699	75.579
0.749	81.046
0.799	87.060
0.849	92.528
0.899	98.542
0.949	104.009
0.999	109.477
1.049	114.944
1.099	120.412
1.149	126.426
1.199	131.893
1.249	137.361
1.299	142.828
1.349	148.296
1.399	153.763
1.449	159.230
1.499	165.245
1.549	170.712
1.599	176.179
1.649	181.647
1.699	187.114
1.749	192.582
1.799	198.049
1.849	204.063
1.899	209.531
1.949	214.998
1.999	220.466
2.049	225.933
2.099	231.401
2.149	237.415
2.199	242.882
2.249	248.350
2.299	253.817
2.349	0.000
2.399	0.000
2.449	0.000
2.499	0.000
2.549	0.000
