Motion Through Fluids Experiment Wed, Feb 12, 2020 10:23 AM
Time(sec)	Position(mm)
0.026	0.000
0.076	0.000
0.126	0.000
0.176	0.000
0.226	1.768
0.276	5.595
0.326	8.876
0.376	12.703
0.426	15.984
0.476	19.811
0.526	23.638
0.576	26.918
0.626	30.746
0.676	34.573
0.726	37.853
0.776	41.681
0.826	44.961
0.876	48.788
0.926	52.069
0.976	55.896
1.026	59.176
1.076	63.004
1.126	66.284
1.176	70.111
1.226	73.392
1.276	77.219
1.326	80.499
1.376	83.780
1.426	87.607
1.476	91.434
1.527	94.715
1.577	98.542
1.626	101.276
1.676	105.103
1.726	108.930
1.776	112.210
1.826	115.491
1.876	118.771
1.926	122.599
1.976	125.879
2.026	129.706
2.076	132.987
2.126	136.814
2.176	140.094
2.226	143.922
2.276	147.202
2.326	150.483
2.376	154.310
2.426	157.590
2.476	161.417
2.526	164.698
2.576	168.525
2.626	171.806
2.676	175.086
2.726	178.913
2.776	182.740
2.826	186.021
2.876	189.301
2.926	193.129
2.976	196.956
3.026	200.236
3.076	204.063
3.126	207.344
3.176	211.171
3.226	214.452
3.276	217.732
3.326	221.559
3.376	225.386
3.426	228.667
3.476	232.494
3.526	235.775
3.576	239.602
3.626	242.882
3.676	246.709
3.726	249.990
3.776	253.817
3.826	0.000
3.876	0.000
3.926	0.000
3.976	0.000
4.026	0.000
4.076	0.000
4.126	0.000
4.176	0.000
