Motion Through Fluids Experiment Wed, Feb 12, 2020 10:57 AM
Time(sec)	Position(mm)
0.094	0.000
0.294	0.000
0.494	0.000
0.694	0.000
0.894	0.000
1.094	0.000
1.294	0.000
1.495	0.000
1.694	0.675
1.894	1.222
2.094	1.768
2.294	2.315
2.494	3.409
2.694	3.955
2.894	4.502
3.094	5.049
3.294	5.595
3.494	6.142
3.694	7.236
3.894	7.782
4.094	8.329
4.294	8.876
4.494	9.423
4.694	9.969
4.894	11.063
5.094	11.610
5.294	12.156
5.494	12.703
5.694	13.250
5.894	13.797
6.094	14.343
6.294	15.437
6.494	15.984
6.694	16.530
6.894	17.077
7.094	17.624
7.294	18.171
7.494	19.264
7.694	19.811
7.894	20.358
8.094	20.904
8.294	21.451
8.494	22.545
8.694	23.091
8.894	23.638
9.094	24.185
9.294	24.732
9.494	25.825
9.694	26.372
9.894	26.918
10.094	27.465
10.294	28.012
10.494	28.559
10.694	29.105
10.894	30.199
11.094	30.746
11.294	31.292
11.494	31.839
11.694	32.386
11.894	33.479
12.094	34.026
12.294	34.573
12.494	35.120
12.694	35.666
12.894	36.213
13.094	36.760
13.294	37.853
13.494	38.400
13.694	38.947
13.894	39.494
14.094	40.040
14.294	40.587
14.494	41.681
14.694	42.227
14.894	42.774
15.094	43.321
15.294	43.868
15.494	44.961
15.694	45.508
15.894	46.055
16.094	46.601
16.294	47.148
16.494	47.695
16.694	48.241
16.894	49.335
17.094	49.882
17.294	50.428
17.494	50.975
17.694	51.522
17.894	52.069
18.094	53.162
18.294	53.709
18.494	54.256
18.694	54.802
18.894	55.896
19.094	56.443
19.294	56.989
19.494	57.536
19.694	58.083
19.894	58.630
20.095	59.176
20.294	60.270
20.494	60.817
20.694	61.363
20.894	61.910
21.094	62.457
21.294	63.004
21.494	64.097
21.694	64.644
21.897	65.191
22.094	65.737
22.294	66.284
22.494	67.378
22.694	67.924
22.894	68.471
23.094	69.018
23.294	69.564
23.494	70.111
23.694	70.658
23.894	71.751
24.094	72.298
24.294	72.845
24.494	73.392
24.694	73.938
24.894	75.032
25.094	75.579
25.294	76.125
25.494	76.672
25.694	77.219
25.894	77.766
26.094	78.312
26.294	79.406
26.494	79.953
26.694	80.499
26.894	81.046
27.095	81.593
27.294	82.686
27.494	83.233
27.694	83.780
27.894	84.327
28.094	84.873
28.294	85.420
28.494	85.967
28.695	87.060
28.894	87.607
29.094	88.154
29.294	88.701
29.494	89.247
29.694	90.341
29.894	90.887
30.094	91.434
30.294	91.981
30.494	92.528
30.694	93.074
30.894	94.168
31.094	94.715
31.294	95.261
31.494	95.808
31.694	96.355
31.894	96.902
32.094	97.995
32.294	98.542
32.494	99.089
32.694	99.635
32.894	100.182
33.095	100.729
33.294	101.822
33.494	102.369
33.694	102.916
33.894	103.463
34.094	104.009
34.294	104.556
34.494	105.650
34.694	106.196
34.894	106.743
35.094	107.290
35.294	107.837
35.494	108.383
35.694	109.477
35.894	110.024
36.094	110.570
36.294	111.117
36.494	111.664
36.694	112.210
36.894	113.304
37.094	113.851
37.294	114.397
37.494	114.944
37.694	115.491
37.894	116.038
38.094	117.131
38.294	117.678
38.494	118.225
38.694	118.771
38.894	119.318
39.094	120.412
39.294	120.958
39.494	121.505
39.694	122.052
39.894	122.599
40.094	123.145
40.294	123.692
40.494	124.786
40.694	125.332
40.894	125.879
41.094	126.426
41.294	126.973
41.494	127.519
41.694	128.613
41.894	129.160
42.094	129.706
42.294	130.253
42.494	130.800
42.694	131.347
42.894	132.440
43.094	132.987
43.294	133.533
43.494	134.080
43.694	134.627
43.894	135.174
44.094	135.720
44.295	136.814
44.494	137.361
44.694	137.907
44.894	138.454
45.094	139.001
45.294	140.094
45.494	140.641
45.694	141.188
45.894	141.735
46.094	142.281
46.294	142.828
46.494	143.922
46.694	144.468
46.894	145.015
47.094	145.562
47.294	146.109
47.494	146.655
47.694	147.749
47.894	148.296
48.094	148.842
48.294	149.389
48.494	149.936
48.694	150.483
48.894	151.029
49.094	152.123
49.294	152.670
49.494	153.216
49.695	153.763
49.894	154.310
50.094	155.403
50.304	155.950
50.494	156.497
50.694	157.043
50.894	157.590
51.094	158.137
51.294	158.684
51.494	159.777
51.694	160.324
51.894	160.871
52.094	161.417
52.294	161.964
52.494	162.511
52.694	163.058
52.894	164.151
53.094	164.698
53.294	165.245
53.494	165.791
53.695	166.338
53.894	166.885
54.094	167.978
54.294	168.525
54.494	169.072
54.694	169.619
54.894	170.165
55.094	171.259
55.294	171.806
55.494	172.352
55.694	172.899
55.894	173.446
56.094	173.992
56.294	174.539
56.494	175.633
56.694	176.179
56.894	176.726
57.094	177.273
57.294	177.820
57.494	178.366
57.694	178.913
57.894	180.007
58.094	180.553
58.295	181.100
58.494	181.647
58.694	182.194
58.894	182.740
59.094	183.834
59.294	184.381
59.494	184.927
59.694	185.474
59.894	186.021
60.094	186.568
60.294	187.114
60.494	188.208
60.695	188.755
60.894	189.301
61.094	189.848
61.294	190.395
61.494	191.488
61.694	192.035
61.894	192.582
62.094	193.129
62.295	193.675
