Motion Through Fluids Experiment Wed, Feb 12, 2020 10:11 AM
Time(sec)	Position(mm)
0.035	0.000
0.085	0.000
0.135	0.000
0.185	0.000
0.235	0.000
0.285	0.000
0.335	0.000
0.385	1.222
0.435	5.049
0.485	10.516
0.535	15.984
0.585	21.451
0.635	27.465
0.685	33.479
0.735	38.947
0.785	44.961
0.835	51.522
0.885	57.536
0.935	63.550
0.985	69.564
1.035	75.579
1.085	82.140
1.135	88.154
1.185	94.168
1.235	100.182
1.285	106.743
1.335	112.757
1.385	119.318
1.435	125.332
1.485	131.347
1.535	137.907
1.585	143.922
1.635	150.483
1.685	156.497
1.735	162.511
1.785	168.525
1.835	175.086
1.885	181.100
1.935	187.114
1.985	193.129
2.035	199.689
2.085	205.704
2.135	211.718
2.185	217.732
2.235	223.746
2.285	229.760
2.335	236.321
2.385	242.335
2.435	248.350
2.485	253.817
2.535	0.000
2.585	0.000
2.635	0.000
2.685	0.000
2.735	0.000
2.785	0.000
2.835	0.000
