Motion Through Fluids Experiment Wed, Feb 12, 2020 10:10 AM
Time(sec)	Position(mm)
0.006	12.703
0.105	24.185
0.155	30.746
0.205	36.760
0.255	42.774
0.305	49.335
0.355	55.896
0.405	61.910
0.455	68.471
0.505	75.032
0.555	81.593
0.605	88.154
0.655	94.715
0.705	101.276
0.755	107.837
0.805	114.397
0.855	120.958
0.905	126.973
0.955	133.533
1.005	140.094
1.055	146.655
1.105	153.216
1.155	159.777
1.205	165.791
1.255	172.352
1.305	178.913
1.355	185.474
1.405	192.035
1.455	198.596
1.505	204.610
1.555	211.171
1.605	217.732
1.655	224.293
1.705	230.307
1.755	235.775
1.805	242.335
1.855	248.896
1.905	254.364
1.955	0.000
2.005	0.000
2.055	0.000
2.105	0.000
2.155	0.000
2.205	0.000
2.255	0.000
2.305	0.000
2.355	0.000
2.405	0.000
2.455	0.000
2.505	0.000
2.555	0.000
2.605	0.000
2.655	0.000
2.705	0.000
2.755	0.000
2.805	0.000
