Motion Through Fluids Experiment Wed, Feb 12, 2020 10:45 AM
Time(sec)	Position(mm)
0.013	0.000
0.213	0.000
0.413	0.000
0.613	0.000
0.813	0.000
1.013	0.000
1.213	0.000
1.413	0.000
1.613	0.675
1.813	3.409
2.013	5.595
2.213	8.329
2.413	10.516
2.613	12.703
2.814	15.437
3.013	18.171
3.213	20.358
3.413	23.091
3.613	25.278
3.813	28.012
4.013	30.199
4.213	32.933
4.413	35.120
4.613	37.853
4.813	40.587
5.013	42.774
5.213	44.961
5.413	47.695
5.613	49.882
5.813	52.615
6.013	54.802
6.213	57.536
6.414	59.723
6.613	62.457
6.813	64.644
7.013	67.378
7.213	69.564
7.413	72.298
7.613	75.032
7.813	77.219
8.013	79.953
8.213	82.140
8.413	84.327
8.613	87.060
8.813	89.247
9.013	91.981
9.213	94.168
9.413	96.355
9.613	99.089
9.813	101.276
10.013	104.009
10.213	106.743
10.413	108.930
10.613	111.117
10.813	113.851
11.013	116.038
11.213	118.771
11.413	120.958
11.613	123.692
11.813	125.879
12.013	128.613
12.222	130.800
12.413	132.987
12.613	135.720
12.813	137.907
13.013	140.641
13.213	142.828
13.413	145.562
13.613	147.749
13.813	150.483
14.013	152.670
14.213	155.403
14.413	157.590
14.613	160.324
14.813	162.511
15.013	164.698
15.213	167.432
15.413	169.619
15.613	171.806
15.813	174.539
16.013	176.726
16.213	178.913
16.413	181.647
16.613	184.381
16.813	186.568
17.013	188.755
17.213	191.488
17.413	193.675
17.613	196.409
17.813	198.596
18.013	200.783
18.213	203.517
18.413	205.704
18.613	207.891
18.813	210.624
19.013	212.811
19.213	215.545
19.414	217.732
19.613	220.466
19.813	222.653
20.013	224.840
20.213	227.573
20.413	229.760
20.614	232.494
20.814	234.681
21.013	236.868
21.213	239.602
21.413	241.789
21.613	243.976
21.813	246.709
22.013	248.896
22.213	251.083
22.413	253.270
22.613	255.457
22.813	0.000
23.013	0.000
23.213	0.000
23.413	0.000
23.613	0.000
