Motion Through Fluids Experiment Wed, Feb 12, 2020 10:44 AM
Time(sec)	Position(mm)
0.177	0.000
0.377	0.000
0.577	0.000
0.777	0.000
0.977	0.000
1.177	0.000
1.377	1.768
1.577	3.955
1.777	6.689
1.977	8.876
2.177	11.610
2.377	13.797
2.577	16.530
2.777	18.717
2.977	21.451
3.177	23.638
3.377	26.372
3.577	28.559
3.777	30.746
3.977	33.479
4.177	35.666
4.377	37.853
4.577	40.587
4.777	42.774
4.977	45.508
5.177	47.695
5.377	50.428
5.577	52.615
5.777	55.349
5.977	57.536
6.177	60.270
6.377	62.457
6.577	64.644
6.778	67.378
6.977	69.564
7.177	71.751
7.377	74.485
7.577	76.672
7.777	79.406
7.977	81.593
8.177	84.327
8.377	86.514
8.577	89.247
8.777	91.434
8.977	93.621
9.178	96.355
9.377	98.542
9.577	101.276
9.777	103.463
9.977	105.650
10.177	108.383
10.377	110.570
10.577	112.757
10.777	115.491
10.977	117.678
11.177	120.412
11.377	122.599
11.577	125.332
11.777	127.519
11.978	129.706
12.177	132.440
12.377	134.627
12.577	136.814
12.777	139.548
12.977	141.735
13.177	144.468
13.377	146.655
13.577	148.842
13.777	151.576
13.977	153.763
14.177	155.950
14.378	158.684
14.577	160.871
14.777	163.604
14.977	165.791
15.177	167.978
15.377	170.712
15.577	172.899
15.777	175.086
15.978	177.820
16.177	180.007
16.377	182.194
16.578	184.927
16.777	187.114
16.977	189.301
17.177	192.035
17.377	194.222
17.577	196.956
17.777	199.143
17.977	201.330
18.177	204.063
18.377	206.250
18.577	208.437
18.777	211.171
18.977	213.358
19.177	215.545
19.377	218.279
19.577	220.466
19.777	222.653
19.977	224.840
20.177	227.573
20.377	229.760
20.577	231.947
20.777	234.681
20.977	236.868
21.177	239.602
21.377	241.789
21.577	243.976
21.777	246.709
21.977	248.896
22.177	251.083
22.377	253.270
22.577	255.457
22.777	0.000
22.977	0.000
23.177	0.000
23.378	0.000
23.577	0.000
23.777	0.000
23.977	0.000
