Motion Through Fluids Experiment Wed, Feb 12, 2020 10:16 AM
Time(sec)	Position(mm)
0.040	19.811
0.090	24.732
0.140	29.652
0.190	35.120
0.240	40.587
0.290	45.508
0.340	50.975
0.390	56.989
0.440	62.457
0.490	67.924
0.540	73.392
0.590	78.859
0.640	84.873
0.690	90.341
0.740	95.808
0.790	101.276
0.840	107.290
0.890	112.757
0.940	118.225
0.990	124.239
1.040	129.706
1.090	135.174
1.140	140.641
1.190	146.655
1.240	152.123
1.290	157.590
1.340	162.511
1.390	169.072
1.440	173.446
1.490	180.007
1.540	184.927
1.590	190.395
1.640	195.862
1.690	201.876
1.740	207.344
1.790	212.811
1.840	218.825
1.890	224.293
1.940	229.760
1.990	235.775
2.040	241.242
2.090	246.709
2.140	252.177
2.190	0.000
2.240	0.000
2.290	0.000
2.340	0.000
2.390	0.000
2.440	0.000
