Motion Through Fluids Experiment Wed, Feb 12, 2020 10:13 AM
Time(sec)	Position(mm)
0.022	0.000
0.122	0.000
0.172	0.000
0.222	0.000
0.272	0.000
0.322	0.000
0.372	3.409
0.422	7.782
0.472	12.703
0.522	17.624
0.572	22.545
0.622	27.465
0.672	32.386
0.722	37.307
0.772	42.774
0.822	47.695
0.872	52.615
0.922	58.083
0.972	63.004
1.022	68.471
1.072	73.392
1.122	78.859
1.172	83.780
1.222	89.247
1.272	94.168
1.322	99.635
1.372	104.556
1.422	110.024
1.472	114.944
1.522	120.412
1.572	125.332
1.622	130.800
1.672	135.720
1.722	141.188
1.772	145.562
1.822	151.029
1.872	155.950
1.922	161.417
1.972	166.338
2.022	171.806
2.072	177.273
2.122	182.194
2.172	187.661
2.222	192.582
2.272	198.049
2.322	202.970
2.372	208.437
2.422	213.905
2.472	219.372
2.522	224.293
2.572	229.760
2.622	234.681
2.672	240.148
2.722	245.069
2.772	250.537
2.822	254.911
2.872	0.000
2.922	0.000
2.972	0.000
3.022	0.000
3.072	0.000
3.122	0.000
3.172	0.000
3.222	0.000
3.272	0.000
3.322	0.000
3.372	0.000
3.422	0.000
3.472	0.000
