Motion Through Fluids Experiment Wed, Feb 12, 2020 10:25 AM
Time(sec)	Position(mm)
0.005	0.000
0.105	0.000
0.155	0.000
0.205	0.000
0.255	0.000
0.305	0.000
0.355	0.000
0.405	0.000
0.455	0.000
0.505	0.000
0.555	1.768
0.605	5.049
0.655	7.782
0.705	11.063
0.755	14.343
0.805	17.077
0.855	20.358
0.905	23.091
0.955	26.372
1.005	29.652
1.055	32.933
1.105	35.666
1.155	38.947
1.205	42.227
1.255	44.961
1.305	48.241
1.355	51.522
1.405	54.256
1.455	56.989
1.505	60.817
1.555	63.550
1.605	66.831
1.655	70.111
1.705	72.845
1.755	75.579
1.805	78.859
1.855	82.140
1.905	84.873
1.955	88.154
2.005	90.887
2.055	94.168
2.105	97.448
2.155	100.729
2.205	103.463
2.255	106.743
2.305	109.477
2.355	112.757
2.405	116.038
2.455	118.771
2.505	122.052
2.555	125.332
2.605	128.066
2.655	131.347
2.705	134.627
2.755	137.361
2.805	140.641
2.855	143.375
2.905	146.655
2.955	149.389
3.005	152.670
3.055	155.403
3.105	158.684
3.155	161.964
3.205	164.698
3.255	167.432
3.305	170.712
3.355	173.446
3.405	176.726
3.455	179.460
3.505	182.194
3.555	185.474
3.605	188.208
3.655	191.488
3.705	194.222
3.755	197.502
3.805	200.236
3.855	203.517
3.906	206.250
3.955	209.531
4.005	212.811
4.055	215.545
4.105	218.825
4.155	222.106
4.205	224.840
4.255	228.120
4.305	231.401
4.355	234.134
4.405	237.415
4.455	240.695
4.505	243.429
4.555	246.163
4.605	249.443
4.655	252.724
4.706	0.000
4.755	0.000
4.805	0.000
4.855	0.000
4.905	0.000
4.955	0.000
5.005	0.000
5.055	0.000
5.105	0.000
5.155	0.000
5.205	0.000
5.255	0.000
5.305	0.000
5.355	0.000
5.405	0.000
5.455	0.000
