Motion Through Fluids Experiment Wed, Feb 12, 2020 10:05 AM
Time(sec)	Position(mm)
0.038	1.222
0.088	5.595
0.138	12.156
0.188	18.717
0.238	25.825
0.288	32.933
0.338	40.040
0.388	47.695
0.438	54.802
0.488	62.457
0.538	70.111
0.588	77.766
0.638	85.967
0.688	93.621
0.738	101.276
0.788	108.930
0.838	116.584
0.888	124.786
0.938	132.440
0.988	140.094
1.038	148.296
1.088	154.856
1.138	162.511
1.188	170.165
1.238	178.366
1.288	186.021
1.338	193.675
1.388	201.330
1.438	209.531
1.488	217.185
1.538	224.840
1.588	232.494
1.638	240.148
1.688	248.350
1.738	254.364
1.788	0.000
1.838	0.000
1.888	0.000
1.938	0.000
1.988	0.000
2.038	0.000
2.088	0.000
2.138	0.000
