Motion Through Fluids Experiment Wed, Feb 12, 2020 10:03 AM
Time(sec)	Position(mm)
0.032	0.000
0.081	2.315
0.131	8.329
0.181	14.890
0.231	21.998
0.281	29.105
0.331	36.760
0.381	43.868
0.431	51.522
0.481	59.176
0.531	67.378
0.581	75.032
0.631	82.686
0.681	90.887
0.731	99.089
0.781	106.743
0.831	114.944
0.881	123.145
0.931	130.800
0.981	139.001
1.031	146.655
1.081	154.856
1.131	163.058
1.181	171.259
1.231	179.460
1.281	187.661
1.331	195.316
1.381	203.517
1.431	211.718
1.481	219.919
1.531	228.120
1.581	236.321
1.631	243.976
1.681	252.177
1.731	0.000
1.781	0.000
1.831	0.000
1.881	0.000
1.931	0.000
1.981	0.000
2.031	0.000
2.081	0.000
2.131	0.000
2.181	0.000
2.231	0.000
2.281	0.000
2.331	0.000
2.381	0.000
2.431	0.000
2.481	0.000
2.531	0.000
2.581	0.000
