Motion Through Fluids Experiment Wed, Feb 12, 2020 10:22 AM
Time(sec)	Position(mm)
0.049	0.000
0.099	0.675
0.149	4.502
0.199	7.782
0.249	11.610
0.299	14.890
0.349	18.717
0.399	21.998
0.449	25.825
0.499	29.105
0.549	32.933
0.599	36.760
0.649	40.040
0.699	43.868
0.749	47.148
0.799	50.428
0.849	54.256
0.899	57.536
0.949	60.817
0.999	64.644
1.049	67.924
1.099	71.205
1.149	75.032
1.199	78.312
1.249	81.593
1.299	84.873
1.349	88.701
1.399	91.981
1.449	95.261
1.499	98.542
1.549	102.369
1.599	105.650
1.649	108.930
1.700	112.757
1.749	116.038
1.799	119.318
1.849	122.599
1.899	126.426
1.949	129.706
1.999	132.987
2.049	136.267
2.099	139.548
2.149	143.375
2.199	146.655
2.249	149.389
2.299	153.216
2.349	156.497
2.399	159.777
2.449	163.058
2.499	166.338
2.549	170.165
2.599	173.446
2.649	176.726
2.700	180.007
2.749	183.834
2.799	187.114
2.849	190.395
2.899	193.675
2.949	196.956
2.999	200.783
3.049	204.063
3.099	207.344
3.149	211.171
3.199	214.452
3.249	217.732
3.299	221.012
3.349	224.293
3.399	228.120
3.449	231.401
3.499	234.681
3.549	238.508
3.599	241.789
3.649	245.069
3.699	248.350
3.749	252.177
3.799	255.457
3.849	0.000
3.899	0.000
3.949	0.000
3.999	0.000
4.049	0.000
4.099	0.000
4.149	0.000
4.199	0.000
