Motion Through Fluids Experiment Wed, Feb 12, 2020 10:09 AM
Time(sec)	Position(mm)
0.005	0.000
0.055	0.000
0.105	2.315
0.155	7.782
0.205	13.250
0.255	19.264
0.305	24.732
0.355	30.746
0.405	36.760
0.455	42.774
0.505	49.335
0.555	55.349
0.605	61.910
0.655	67.924
0.705	74.485
0.755	81.046
0.805	87.060
0.855	93.621
0.905	99.635
0.955	106.196
1.005	112.210
1.055	118.771
1.105	125.332
1.155	131.347
1.205	137.907
1.255	143.922
1.305	150.483
1.355	157.043
1.405	163.058
1.455	169.619
1.505	175.633
1.555	181.647
1.608	188.208
1.655	194.769
1.705	200.783
1.755	206.797
1.805	213.358
1.855	219.372
1.905	225.933
1.955	232.494
2.005	238.508
2.055	244.522
2.105	251.083
2.155	0.000
2.205	0.000
2.255	0.000
2.305	0.000
2.355	0.000
2.405	0.000
2.455	0.000
2.505	0.000
2.555	0.000
2.605	0.000
2.655	0.000
2.705	0.000
