Motion Through Fluids Experiment Wed, Feb 12, 2020 10:35 AM
Time(sec)	Position(mm)
0.038	2.862
0.105	5.595
0.172	8.329
0.239	11.063
0.306	13.797
0.373	16.530
0.440	19.811
0.507	22.545
0.574	25.278
0.641	28.559
0.708	31.292
0.775	34.573
0.843	37.307
0.909	40.040
0.976	43.321
1.043	46.055
1.110	48.788
1.177	52.069
1.244	54.802
1.311	57.536
1.378	60.817
1.445	63.550
1.512	66.284
1.579	69.564
1.646	72.298
1.713	75.579
1.780	78.312
1.847	81.046
1.914	84.327
1.981	87.060
2.048	89.794
2.115	93.074
2.182	95.808
2.249	98.542
2.316	101.822
2.383	104.556
2.450	107.290
2.517	110.570
2.584	113.304
2.651	116.038
2.718	119.318
2.785	122.052
2.852	124.786
2.919	127.519
2.986	130.253
3.053	133.533
3.120	136.267
3.187	139.001
3.254	142.281
3.321	145.015
3.388	148.296
3.455	151.029
3.522	153.763
3.589	156.497
3.656	159.777
3.723	162.511
3.790	165.245
3.857	167.978
3.924	170.712
3.991	173.992
4.058	176.726
4.125	179.460
4.192	182.740
4.259	185.474
4.326	188.208
4.393	191.488
4.460	194.222
4.527	196.956
4.594	199.689
4.661	202.423
4.728	205.704
4.795	208.437
4.862	211.171
4.929	214.452
4.996	217.185
5.063	219.919
5.130	222.653
5.197	225.386
5.264	228.667
5.331	231.401
5.398	234.134
5.465	236.868
5.532	240.148
5.599	242.882
5.666	245.616
5.733	248.350
5.800	251.083
5.867	253.817
5.934	254.911
6.001	0.000
6.068	0.000
6.135	0.000
6.202	0.000
6.269	0.000
6.336	0.000
6.403	0.000
6.470	0.000
6.537	0.000
6.604	0.000
6.671	0.000
6.738	0.000
6.805	0.000
6.872	0.000
6.939	0.000
7.006	0.000
7.073	0.000
7.141	0.000
7.207	0.000
7.274	0.000
7.341	0.000
7.408	0.000
7.475	0.000
7.542	0.000
7.609	0.000
7.676	0.000
7.743	0.000
7.810	0.000
7.877	0.000
7.945	0.000
8.011	0.000
