Motion Through Fluids Experiment Wed, Feb 12, 2020 10:13 AM
Time(sec)	Position(mm)
0.032	0.000
0.082	0.000
0.132	0.000
0.182	0.000
0.232	1.222
0.283	4.502
0.333	9.423
0.382	13.797
0.432	18.717
0.482	23.638
0.532	28.559
0.582	33.479
0.632	38.947
0.682	44.414
0.732	49.882
0.782	55.349
0.832	60.817
0.882	66.284
0.932	71.751
0.982	77.219
1.032	82.686
1.082	88.154
1.132	93.621
1.182	99.089
1.232	105.103
1.282	110.570
1.332	116.038
1.383	121.505
1.432	126.973
1.482	132.440
1.532	137.907
1.582	143.375
1.632	148.842
1.682	154.310
1.732	158.684
1.782	164.151
1.832	169.619
1.882	175.086
1.932	180.553
1.982	186.021
2.032	191.488
2.082	196.956
2.132	202.423
2.183	208.437
2.232	213.358
2.282	218.825
2.332	223.746
2.382	229.214
2.432	234.681
2.482	240.148
2.532	245.616
2.583	251.083
2.632	255.457
2.682	0.000
2.732	0.000
2.782	0.000
2.832	0.000
2.882	0.000
2.932	0.000
2.982	0.000
3.032	0.000
3.082	0.000
3.132	0.000
3.182	0.000
3.232	0.000
