Motion Through Fluids Experiment Wed, Feb 12, 2020 10:20 AM
Time(sec)	Position(mm)
0.006	0.000
0.106	0.000
0.156	0.000
0.206	0.000
0.256	0.000
0.306	0.000
0.356	0.000
0.406	3.409
0.456	7.782
0.506	12.156
0.556	16.530
0.606	21.451
0.656	25.825
0.706	30.746
0.756	35.120
0.806	40.040
0.856	44.414
0.906	48.788
0.956	53.709
1.006	58.083
1.056	63.004
1.106	67.378
1.156	71.751
1.206	76.672
1.256	81.046
1.306	85.967
1.356	90.341
1.406	94.715
1.456	99.635
1.506	104.009
1.556	108.930
1.606	113.304
1.656	118.225
1.706	122.599
1.756	126.973
1.806	131.893
1.856	136.267
1.906	141.188
1.956	145.015
2.006	149.389
2.056	154.310
2.106	158.684
2.156	163.058
2.206	167.978
2.256	172.352
2.306	177.273
2.356	181.647
2.406	186.568
2.456	190.942
2.506	195.316
2.556	200.236
2.606	204.610
2.656	209.531
2.706	213.905
2.756	218.279
2.806	223.199
2.856	227.573
2.906	232.494
2.956	236.868
3.006	241.242
3.056	246.163
3.106	250.537
3.156	254.911
3.206	0.000
3.256	0.000
3.306	0.000
3.356	0.000
3.406	0.000
3.456	0.000
