Motion Through Fluids Experiment Wed, Feb 12, 2020 10:54 AM
Time(sec)	Position(mm)
78.853	239.602
79.053	240.148
79.253	240.695
79.453	241.242
79.653	241.789
79.853	242.335
80.053	242.882
80.253	243.976
80.453	244.522
80.653	245.069
80.853	245.616
81.053	246.163
81.253	246.709
81.453	247.256
81.653	248.350
81.853	248.896
82.053	249.443
82.254	249.990
82.453	250.537
82.653	251.083
82.853	251.630
83.053	252.177
83.253	253.270
83.453	253.817
83.653	254.364
83.853	254.911
84.053	0.000
84.254	0.000
84.453	0.000
84.653	0.000
84.856	0.000
85.053	0.000
85.253	0.000
85.453	0.000
85.653	0.000
