Motion Through Fluids Experiment Wed, Feb 12, 2020 10:19 AM
Time(sec)	Position(mm)
0.044	0.000
0.094	0.000
0.144	3.409
0.194	8.329
0.244	12.703
0.294	17.077
0.344	21.451
0.394	26.372
0.444	30.746
0.494	35.666
0.544	40.040
0.594	44.961
0.644	49.335
0.694	54.256
0.744	58.630
0.794	63.550
0.844	67.924
0.894	72.845
0.944	77.219
0.994	82.140
1.044	86.514
1.094	91.434
1.144	95.808
1.195	100.729
1.244	105.103
1.294	110.024
1.344	114.397
1.394	119.318
1.444	123.692
1.494	128.613
1.544	132.987
1.594	137.361
1.644	142.281
1.694	146.655
1.744	151.576
1.794	155.950
1.844	160.871
1.894	165.245
1.944	170.165
1.994	174.539
2.044	179.460
2.094	183.834
2.144	188.755
2.194	193.129
2.244	197.502
2.294	202.423
2.344	207.344
2.394	211.718
2.444	216.092
2.494	221.012
2.544	225.386
2.594	230.307
2.644	234.681
2.694	239.602
2.744	243.976
2.795	248.896
2.844	253.817
2.894	0.000
2.944	0.000
2.994	0.000
3.044	0.000
3.094	0.000
3.145	0.000
3.194	0.000
3.244	0.000
3.294	0.000
3.344	0.000
3.394	0.000
3.444	0.000
3.494	0.000
3.544	0.000
3.594	0.000
3.644	0.000
3.695	0.000
