Motion Through Fluids Experiment Wed, Feb 12, 2020 10:19 AM
Time(sec)	Position(mm)
0.032	0.000
0.132	0.000
0.182	0.000
0.232	0.000
0.282	0.000
0.332	0.675
0.382	3.955
0.432	8.329
0.482	12.156
0.532	16.530
0.582	21.451
0.632	25.825
0.682	30.199
0.732	35.120
0.782	39.494
0.832	43.321
0.882	47.695
0.932	52.069
0.982	56.443
1.032	60.817
1.082	65.737
1.132	70.111
1.182	74.485
1.232	78.859
1.282	83.780
1.332	88.154
1.382	92.528
1.432	97.448
1.482	101.822
1.532	106.196
1.582	110.570
1.632	114.944
1.682	119.318
1.732	124.239
1.782	128.613
1.832	132.987
1.882	137.907
1.932	141.735
1.982	146.655
2.032	151.029
2.082	155.403
2.132	159.777
2.182	164.151
2.232	168.525
2.282	173.446
2.332	177.820
2.382	182.194
2.432	187.114
2.482	191.488
2.532	195.862
2.582	200.236
2.632	204.610
2.682	209.531
2.732	213.905
2.782	218.279
2.832	222.653
2.882	227.573
2.932	231.947
2.982	236.321
3.032	241.242
3.082	245.616
3.132	249.990
3.182	254.364
3.232	0.000
3.282	0.000
3.332	0.000
3.382	0.000
3.432	0.000
3.482	0.000
3.532	0.000
3.583	0.000
3.632	0.000
3.682	0.000
3.732	0.000
3.782	0.000
