Motion Through Fluids Experiment Wed, Feb 12, 2020 10:32 AM
Time(sec)	Position(mm)
0.034	0.000
0.101	0.000
0.168	1.222
0.237	2.862
0.302	6.689
0.369	8.876
0.436	11.610
0.503	14.343
0.570	17.077
0.637	20.358
0.704	23.091
0.771	26.372
0.838	29.105
0.905	31.839
0.972	34.573
1.039	37.853
1.106	41.134
1.173	43.868
1.240	46.601
1.307	49.882
1.374	52.615
1.441	55.349
1.508	58.630
1.575	61.363
1.642	63.550
1.709	66.831
1.776	70.111
1.843	72.845
1.910	75.579
1.977	78.859
2.044	81.593
2.111	84.327
2.178	87.607
2.245	90.341
2.312	93.074
2.379	96.355
2.446	99.089
2.513	101.822
2.580	105.103
2.647	107.837
2.714	110.570
2.781	113.304
2.848	116.584
2.915	119.318
2.982	122.052
3.049	125.332
3.116	128.066
3.183	130.800
3.250	133.533
3.317	136.814
3.384	139.548
3.451	142.281
3.518	145.562
3.585	148.296
3.652	151.029
3.719	154.310
3.786	157.043
3.853	159.777
3.920	162.511
3.987	165.791
4.054	168.525
4.121	171.259
4.188	174.539
4.255	177.273
4.322	180.007
4.389	182.740
4.456	186.021
4.523	188.208
4.590	191.488
4.657	194.222
4.725	196.956
4.791	200.236
4.858	202.970
4.925	205.704
4.992	208.984
5.059	211.718
5.126	214.452
5.193	217.185
5.260	220.466
5.327	222.653
5.394	225.933
5.461	228.667
5.528	231.401
5.595	234.134
5.662	237.415
5.729	239.602
5.796	242.335
5.863	244.522
5.930	248.896
5.997	251.083
6.064	253.817
6.131	255.457
6.198	0.000
6.265	0.000
6.332	0.000
6.399	0.000
6.466	0.000
6.533	0.000
6.601	0.000
6.667	0.000
6.734	0.000
