Motion Through Fluids Experiment Wed, Feb 12, 2020 10:25 AM
Time(sec)	Position(mm)
0.006	0.000
0.106	0.000
0.156	0.000
0.206	0.000
0.256	0.000
0.306	2.315
0.356	5.595
0.406	9.423
0.456	12.703
0.506	16.530
0.556	19.811
0.606	23.638
0.656	26.918
0.706	30.746
0.756	34.026
0.806	37.853
0.856	41.681
0.906	44.961
0.956	48.241
1.006	52.069
1.056	55.896
1.106	59.176
1.156	63.004
1.206	66.284
1.256	70.111
1.306	73.938
1.356	77.219
1.406	81.046
1.456	84.327
1.506	88.154
1.556	91.434
1.606	95.261
1.656	98.542
1.706	102.369
1.756	106.196
1.806	110.024
1.856	113.304
1.906	117.131
1.956	120.412
2.006	124.239
2.056	127.519
2.106	131.347
2.157	135.174
2.206	139.001
2.256	142.281
2.306	146.109
2.356	149.389
2.406	152.670
2.456	157.043
2.506	160.324
2.556	164.151
2.606	167.432
2.656	170.712
2.706	173.992
2.756	177.820
2.806	181.100
2.856	184.927
2.906	188.208
2.956	192.035
3.006	195.316
3.056	199.143
3.106	202.423
3.156	206.250
3.206	210.078
3.256	213.358
3.306	217.185
3.356	220.466
3.407	223.746
3.456	227.573
3.506	230.854
3.556	234.681
3.606	237.962
3.656	241.789
3.706	245.069
3.756	248.896
3.806	252.177
3.856	255.457
3.906	0.000
3.956	0.000
4.006	0.000
4.056	0.000
4.106	0.000
4.159	0.000
4.206	0.000
4.256	0.000
