Motion Through Fluids Experiment Wed, Feb 12, 2020 10:50 AM
Time(sec)	Position(mm)
0.065	0.000
0.265	0.000
0.465	0.000
0.665	0.000
0.865	0.000
1.065	0.000
1.265	0.000
1.465	0.000
1.665	0.000
1.865	0.675
2.065	2.315
2.265	3.409
2.465	5.049
2.665	6.689
2.865	7.782
3.065	9.423
3.266	10.516
3.465	12.156
3.665	13.250
3.865	14.890
4.065	16.530
4.265	17.624
4.465	19.264
4.665	20.358
4.866	21.998
5.065	23.638
5.265	24.732
5.465	26.372
5.665	27.465
5.865	29.105
6.065	30.199
6.265	31.839
6.465	33.479
6.665	34.573
6.865	36.213
7.065	37.307
7.265	38.947
7.466	40.040
7.665	41.681
7.865	42.774
8.065	44.414
8.265	46.055
8.465	47.148
8.665	48.788
8.865	49.882
9.065	51.522
9.266	53.162
9.465	54.256
9.665	55.896
9.865	56.989
10.065	58.630
10.265	59.723
10.465	61.363
10.665	63.004
10.865	64.097
11.065	65.737
11.265	66.831
11.465	68.471
11.665	69.564
11.865	71.205
12.065	72.845
12.265	73.938
12.465	75.579
12.665	76.672
12.865	78.312
13.065	79.406
13.265	81.046
13.465	82.140
13.665	83.780
13.865	84.873
14.065	86.514
14.265	88.154
14.465	89.247
14.666	90.887
14.865	91.981
15.065	93.621
15.265	95.261
15.465	96.355
15.665	97.995
15.865	99.089
16.065	100.729
16.265	101.822
16.465	103.463
16.665	105.103
16.865	106.196
17.065	107.837
17.265	108.930
17.465	110.570
17.665	111.664
17.865	113.304
18.065	114.397
18.265	116.038
18.465	117.678
18.665	118.771
18.865	120.412
19.065	121.505
19.265	123.145
19.465	124.239
19.665	125.879
19.865	126.973
20.065	128.613
20.265	130.253
20.465	131.347
20.665	132.987
20.865	134.080
21.065	135.720
21.265	136.814
21.465	138.454
21.666	140.094
21.865	141.188
22.065	142.828
22.265	143.922
22.465	145.562
22.665	146.655
22.865	148.296
23.065	149.389
23.265	151.029
23.465	152.123
23.666	153.763
23.865	155.403
24.065	156.497
24.265	157.590
24.465	159.230
24.665	160.871
24.865	161.964
25.065	163.604
25.265	164.698
25.465	166.338
25.665	167.978
25.865	169.072
26.065	170.712
26.265	171.806
26.465	173.446
26.665	174.539
26.865	176.179
27.065	177.273
27.265	178.913
27.465	180.007
27.666	181.647
27.865	182.740
28.065	184.381
28.266	185.474
28.465	187.114
28.665	188.755
28.865	189.848
29.065	191.488
29.265	192.582
29.465	194.222
29.665	195.316
29.865	196.956
30.065	198.049
30.265	199.689
30.466	201.330
30.665	202.423
30.865	204.063
31.065	205.157
31.265	206.797
31.465	207.891
31.665	209.531
31.865	210.624
32.065	212.265
32.265	213.358
32.465	214.998
32.665	216.092
32.865	217.732
33.067	218.825
33.265	220.466
33.465	221.559
33.665	223.199
33.865	224.840
34.066	225.933
34.265	227.027
34.465	228.667
34.665	230.307
34.865	231.401
35.065	233.041
35.265	234.134
35.465	235.775
35.665	236.868
35.865	238.508
36.065	239.602
36.265	241.242
36.465	242.335
36.665	243.976
36.865	245.616
37.065	246.709
37.265	248.350
37.465	249.443
37.665	250.537
37.865	252.177
38.065	253.270
38.265	254.911
38.465	0.000
38.665	0.000
38.865	0.000
