Motion Through Fluids Experiment Wed, Feb 12, 2020 10:04 AM
Time(sec)	Position(mm)
0.001	0.000
0.101	4.502
0.151	11.063
0.201	17.624
0.251	24.732
0.301	31.839
0.351	38.400
0.401	46.055
0.451	53.162
0.501	60.270
0.551	67.924
0.601	75.579
0.651	83.780
0.701	91.434
0.751	99.635
0.801	107.290
0.851	115.491
0.901	123.692
0.951	131.893
1.001	139.548
1.051	147.749
1.101	155.950
1.151	164.151
1.201	172.352
1.251	180.553
1.301	188.208
1.351	196.409
1.401	204.610
1.451	212.811
1.501	221.012
1.551	229.214
1.601	237.415
1.651	245.616
1.701	253.270
1.751	0.000
1.801	0.000
1.851	0.000
1.901	0.000
1.951	0.000
2.001	0.000
2.051	0.000
