Motion Through Fluids Experiment Wed, Feb 12, 2020 10:24 AM
Time(sec)	Position(mm)
0.014	0.000
0.114	0.000
0.164	1.222
0.214	2.862
0.264	5.049
0.314	7.236
0.364	9.423
0.415	12.156
0.464	14.890
0.514	17.624
0.564	20.358
0.614	23.638
0.664	26.372
0.714	29.652
0.764	32.386
0.814	35.666
0.864	38.947
0.914	42.227
0.964	45.508
1.014	48.241
1.064	51.522
1.114	54.802
1.164	58.083
1.214	61.363
1.264	64.644
1.314	67.924
1.364	71.205
1.414	73.938
1.464	77.219
1.514	80.499
1.564	84.327
1.614	87.060
1.664	90.341
1.714	93.621
1.764	96.902
1.814	99.635
1.864	102.916
1.914	106.196
1.964	109.477
2.015	112.757
2.064	115.491
2.114	118.771
2.164	122.052
2.214	125.332
2.264	128.613
2.314	131.347
2.364	134.627
2.414	137.907
2.464	141.188
2.514	144.468
2.564	147.749
2.614	150.483
2.664	153.763
2.714	156.497
2.764	160.324
2.814	163.058
2.864	166.338
2.914	169.619
2.964	172.352
3.014	175.633
3.064	178.913
3.114	182.194
3.164	184.927
3.214	188.208
3.264	191.488
3.314	194.769
3.364	198.049
3.414	200.783
3.464	204.063
3.515	207.344
3.564	210.624
3.614	213.358
3.664	216.638
3.714	219.919
3.764	223.199
3.814	225.933
3.864	229.214
3.914	232.494
3.964	235.228
4.014	238.508
4.064	241.789
4.114	244.522
4.164	247.803
4.214	250.537
4.264	253.817
4.314	0.000
4.364	0.000
