Motion Through Fluids Experiment Wed, Feb 12, 2020 10:33 AM
Time(sec)	Position(mm)
0.057	0.000
0.124	0.000
0.191	0.000
0.258	0.675
0.325	1.768
0.392	4.502
0.459	7.236
0.526	9.969
0.593	12.703
0.660	15.984
0.727	18.717
0.794	21.451
0.861	24.732
0.928	27.465
0.996	30.199
1.062	33.479
1.129	36.213
1.196	38.947
1.263	41.681
1.330	44.961
1.397	47.695
1.464	50.975
1.531	53.709
1.598	56.443
1.665	59.723
1.732	62.457
1.799	65.191
1.866	67.924
1.933	71.205
2.000	73.938
2.067	76.672
2.134	79.406
2.201	82.686
2.268	85.420
2.335	88.154
2.402	91.434
2.469	94.168
2.536	97.448
2.603	100.182
2.670	102.916
2.737	106.196
2.804	108.930
2.871	111.664
2.938	114.944
3.005	117.678
3.072	120.958
3.139	123.692
3.206	126.426
3.273	129.160
3.340	131.893
3.407	135.174
3.474	137.907
3.541	140.641
3.608	143.375
3.675	146.655
3.742	149.389
3.809	152.123
3.876	155.403
3.943	158.137
4.010	161.417
4.077	164.151
4.144	166.885
4.211	169.619
4.278	172.352
4.345	175.086
4.412	178.366
4.479	181.100
4.546	183.834
4.613	187.114
4.680	189.848
4.747	192.582
4.814	195.862
4.881	198.596
4.948	201.330
5.015	204.063
5.082	206.797
5.149	210.078
5.216	212.811
5.283	215.545
5.350	218.825
5.417	221.559
5.484	224.293
5.551	227.027
5.618	229.760
5.685	232.494
5.752	235.775
5.819	238.508
5.886	241.789
5.953	244.522
6.020	247.256
6.087	249.443
6.154	252.724
6.221	254.364
6.288	0.000
6.355	0.000
6.422	0.000
6.490	0.000
6.556	0.000
6.623	0.000
6.690	0.000
6.757	0.000
6.824	0.000
