Motion Through Fluids Experiment Wed, Feb 12, 2020 10:08 AM
Time(sec)	Position(mm)
0.001	25.825
0.101	37.853
0.151	43.868
0.201	49.882
0.251	55.896
0.301	61.910
0.351	68.471
0.401	74.485
0.451	80.499
0.501	87.060
0.551	93.074
0.601	99.089
0.651	104.556
0.701	110.570
0.751	117.131
0.801	123.145
0.851	129.160
0.901	135.720
0.951	141.735
1.001	147.749
1.051	154.310
1.101	160.324
1.151	166.338
1.201	172.899
1.251	178.913
1.301	185.474
1.351	191.488
1.401	197.502
1.451	204.063
1.501	210.078
1.551	216.092
1.601	222.106
1.651	228.667
1.701	234.681
1.751	240.695
1.801	247.256
1.851	253.270
1.901	0.000
1.951	0.000
2.001	0.000
2.051	0.000
2.101	0.000
2.151	0.000
2.201	0.000
2.251	0.000
2.301	0.000
2.351	0.000
2.401	0.000
2.451	0.000
2.501	0.000
2.551	0.000
2.602	0.000
2.651	0.000
