Motion Through Fluids Experiment Wed, Feb 12, 2020 10:52 AM
Time(sec)	Position(mm)
0.060	0.000
0.260	0.000
0.460	0.000
0.661	0.000
0.860	0.000
1.060	0.000
1.260	0.000
1.460	0.000
1.660	0.000
1.860	0.000
2.060	0.000
2.260	0.000
2.460	0.000
2.660	0.000
2.860	0.000
3.060	0.000
3.260	0.000
3.460	0.000
3.660	0.000
3.860	0.000
4.060	0.000
4.260	0.000
4.460	0.000
4.660	0.000
4.860	0.675
5.060	1.222
5.260	1.768
5.460	2.315
5.660	2.862
5.860	3.955
6.060	4.502
6.261	5.049
6.460	5.595
6.660	6.142
6.860	7.236
7.060	7.782
7.260	8.329
7.460	8.876
7.660	9.423
7.860	9.969
8.060	11.063
8.260	11.610
8.460	12.156
8.660	12.703
8.860	13.250
9.060	13.797
9.260	14.890
9.460	15.437
9.660	15.984
9.860	16.530
10.060	17.077
10.260	17.624
10.460	18.171
10.660	19.264
10.860	19.811
11.060	20.358
11.260	20.904
11.460	21.998
11.660	22.545
11.860	23.091
12.060	23.638
12.261	24.185
12.460	24.732
12.660	25.825
12.860	26.372
13.060	26.918
13.260	27.465
13.460	28.012
13.660	28.559
13.860	29.652
14.060	30.199
14.260	30.746
14.460	31.292
14.660	31.839
14.860	32.386
15.060	33.479
15.260	34.026
15.460	34.573
15.660	35.120
15.860	35.666
16.060	36.213
16.260	37.307
16.460	37.853
16.660	38.400
16.860	38.947
17.061	39.494
17.260	40.040
17.460	41.134
17.660	41.681
17.860	42.227
18.060	42.774
18.260	43.321
18.460	43.868
18.660	44.961
18.860	45.508
19.060	46.055
19.260	46.601
19.460	47.148
19.660	47.695
19.860	48.788
20.060	49.335
20.260	49.882
20.460	50.428
20.660	50.975
20.860	51.522
21.060	52.615
21.260	53.162
21.460	53.709
21.660	54.256
21.860	54.802
22.060	55.349
22.260	55.896
22.461	56.989
22.660	57.536
22.860	58.083
23.060	58.630
23.260	59.176
23.460	60.270
23.661	60.817
23.860	61.363
24.060	61.910
24.260	62.457
24.460	63.550
24.660	64.097
24.860	64.644
25.060	65.191
25.260	65.737
25.460	66.284
25.660	66.831
25.860	67.924
26.060	68.471
26.260	69.018
26.460	69.564
26.660	70.111
26.860	70.658
27.060	71.751
27.260	72.298
27.460	72.845
27.660	73.392
27.860	73.938
28.060	75.032
28.260	75.579
28.460	76.125
28.660	76.672
28.860	77.219
29.060	77.766
29.260	78.312
29.460	79.406
29.660	79.953
29.860	80.499
30.060	81.046
30.260	81.593
30.460	82.140
30.660	83.233
30.860	83.780
31.060	84.327
31.260	84.873
31.461	85.420
31.660	85.967
31.860	87.060
32.060	87.607
32.260	88.154
32.460	88.701
32.660	89.247
32.860	89.794
33.060	90.887
33.260	91.434
33.460	91.981
33.660	92.528
33.860	93.074
34.060	93.621
34.260	94.168
34.460	95.261
34.660	95.808
34.860	96.355
35.060	96.902
35.260	97.448
35.460	97.995
35.660	99.089
35.860	99.635
36.060	100.182
36.260	100.729
36.460	101.276
36.660	102.369
36.860	102.916
37.060	103.463
37.260	104.009
37.460	104.556
37.660	105.103
37.860	106.196
38.060	106.743
38.260	107.290
38.461	107.837
38.660	108.383
38.860	108.930
39.060	110.024
39.260	110.570
39.460	111.117
39.660	111.664
39.860	112.210
40.060	112.757
40.260	113.851
40.460	114.397
40.660	114.944
40.860	115.491
41.060	116.038
41.260	116.584
41.460	117.678
41.660	118.225
41.860	118.771
42.060	119.318
42.260	119.865
42.461	120.412
42.660	120.958
42.860	122.052
43.060	122.599
43.260	123.145
43.460	123.692
43.660	124.239
43.860	124.786
44.060	125.879
44.260	126.426
44.460	126.973
44.660	127.519
44.860	128.066
45.060	128.613
45.260	129.706
45.461	130.253
45.660	130.800
45.860	131.347
46.060	131.893
46.260	132.987
46.460	133.533
46.660	134.080
46.860	134.627
47.060	135.174
47.260	135.720
47.460	136.267
47.660	137.361
47.860	137.907
48.060	138.454
48.260	139.001
48.460	139.548
48.660	140.094
