Motion Through Fluids Experiment Wed, Feb 12, 2020 10:38 AM
Time(sec)	Position(mm)
0.028	0.000
0.095	0.000
0.162	0.000
0.229	0.000
0.296	0.000
0.363	0.000
0.430	0.000
0.497	0.000
0.564	0.675
0.632	1.222
0.698	2.862
0.765	4.502
0.832	6.142
0.899	7.782
0.966	9.969
1.033	11.610
1.100	13.250
1.167	14.890
1.234	16.530
1.301	18.171
1.368	20.358
1.435	21.998
1.502	23.638
1.569	25.278
1.636	26.918
1.703	28.559
1.770	30.746
1.837	32.386
1.904	34.026
1.971	35.666
2.038	37.853
2.105	39.494
2.172	41.134
2.239	42.774
2.306	44.961
2.373	46.601
2.440	48.241
2.507	49.882
2.574	51.522
2.641	53.162
2.708	55.349
2.775	56.989
2.842	58.630
2.909	60.270
2.976	61.910
3.043	64.097
3.110	65.737
3.178	67.378
3.244	69.018
3.311	70.658
3.378	72.298
3.445	74.485
3.512	76.125
3.579	77.766
3.646	79.406
3.713	81.046
3.781	83.233
3.847	84.873
3.914	86.514
3.981	88.154
4.048	89.794
4.115	91.434
4.182	93.621
4.249	95.261
4.316	96.902
4.383	98.542
4.450	100.182
4.517	101.822
4.584	104.009
4.651	105.650
4.718	107.290
4.785	108.930
4.853	111.117
4.919	112.757
4.986	114.397
5.053	116.038
5.121	117.678
5.187	119.318
5.254	120.958
5.321	123.145
5.388	124.786
5.455	126.426
5.522	128.066
5.589	129.706
5.656	131.893
5.723	133.533
5.790	135.174
5.857	136.814
5.924	138.454
5.991	140.094
6.058	141.735
6.125	143.375
6.192	145.562
6.259	147.202
6.326	148.842
6.393	150.483
6.460	152.123
6.527	153.763
6.594	155.950
6.662	157.590
6.728	159.230
6.795	160.871
6.862	162.511
6.929	164.151
6.996	166.338
7.063	167.978
7.130	169.619
7.197	171.259
7.264	172.899
7.331	175.086
7.398	176.726
7.465	178.366
7.532	180.007
7.599	181.647
7.666	183.287
7.733	184.927
7.800	186.568
7.867	188.208
7.934	190.395
8.001	192.035
