Motion Through Fluids Experiment Wed, Feb 12, 2020 10:40 AM
Time(sec)	Position(mm)
0.017	0.000
0.117	0.000
0.217	0.000
0.318	0.000
0.417	0.000
0.518	0.000
0.617	0.000
0.717	0.000
0.817	0.000
0.917	0.000
1.017	0.000
1.117	0.000
1.217	0.000
1.317	1.222
1.417	2.862
1.517	5.595
1.617	8.329
1.717	11.063
1.817	13.250
1.917	15.984
2.017	18.717
2.117	21.451
2.217	23.638
2.317	26.372
2.417	28.559
2.517	31.292
2.617	34.026
2.717	36.760
2.817	38.947
2.917	41.681
3.017	44.414
3.117	47.148
3.217	49.335
3.317	52.069
3.417	54.256
3.517	56.989
3.617	59.176
3.717	61.910
3.817	64.644
3.917	66.831
4.017	69.564
4.117	72.298
4.217	74.485
4.317	77.219
4.417	79.953
4.517	82.140
4.617	84.873
4.717	87.607
4.817	90.341
4.917	92.528
5.017	95.261
5.117	97.448
5.217	100.182
5.317	102.916
5.417	105.103
5.517	107.837
5.617	110.570
5.717	112.757
5.817	115.491
5.917	117.678
6.017	120.412
6.117	123.145
6.217	125.332
6.317	128.066
6.417	130.800
6.517	132.987
6.617	135.720
6.717	137.907
6.817	140.641
6.917	143.375
7.017	145.562
7.117	148.296
7.217	150.483
7.317	153.216
7.417	155.950
7.518	158.137
7.617	160.871
7.717	163.058
7.817	165.791
7.917	168.525
8.017	170.712
8.117	173.446
8.217	175.633
8.317	178.366
8.417	181.100
8.517	183.287
8.617	186.021
8.717	188.208
8.817	190.942
8.917	193.675
9.017	195.862
9.117	198.596
9.217	200.783
9.317	203.517
9.417	206.250
9.517	208.437
9.618	211.171
9.717	213.358
9.817	216.092
9.917	218.279
10.017	221.012
10.117	223.199
10.217	225.933
10.318	228.120
10.417	230.854
10.518	233.588
10.617	235.775
10.717	238.508
10.817	240.695
10.917	243.429
11.017	245.616
11.117	248.350
11.217	251.083
11.317	253.270
11.417	254.911
11.517	0.000
11.617	0.000
11.717	0.000
11.817	0.000
11.917	0.000
