Motion Through Fluids Experiment Wed, Feb 12, 2020 10:43 AM
Time(sec)	Position(mm)
0.005	0.000
0.205	0.000
0.405	0.000
0.606	0.000
0.805	1.222
1.005	3.955
1.205	6.142
1.405	8.876
1.606	11.063
1.805	13.797
2.005	15.984
2.205	18.171
2.405	20.904
2.605	23.091
2.805	25.825
3.005	28.012
3.205	30.746
3.405	32.933
3.605	35.120
3.805	37.853
4.005	40.040
4.205	42.774
4.406	44.961
4.605	47.148
4.805	49.882
5.005	52.069
5.206	54.256
5.405	56.989
5.605	59.176
5.805	61.363
6.005	64.097
6.205	66.284
6.405	69.018
6.605	71.205
6.805	73.392
7.005	76.125
7.205	78.312
7.405	80.499
7.605	83.233
7.805	85.420
8.005	87.607
8.205	89.794
8.405	92.528
8.605	94.715
8.805	97.448
9.005	99.635
9.205	101.822
9.405	104.556
9.605	106.743
9.805	108.930
10.005	111.664
10.205	113.851
10.405	116.584
10.605	118.771
10.805	120.958
11.005	123.692
11.205	125.879
11.405	128.066
11.605	130.800
11.805	132.987
12.005	135.174
12.205	137.907
12.405	140.094
12.605	142.281
12.805	144.468
13.005	147.202
13.205	149.389
13.405	151.576
13.605	154.310
13.805	156.497
14.005	158.684
14.205	161.417
14.405	163.604
14.605	165.791
14.805	168.525
15.005	170.712
15.205	172.899
15.405	175.633
15.605	177.820
15.805	180.007
16.005	182.194
16.205	184.927
16.405	187.114
16.605	189.301
16.806	192.035
17.005	194.222
17.205	196.409
17.405	199.143
17.605	201.330
17.805	203.517
18.005	206.250
18.205	208.437
18.405	210.624
18.605	213.358
18.805	215.545
19.005	217.732
19.205	219.919
19.405	222.106
19.605	224.840
19.805	227.027
20.005	229.214
20.205	231.947
20.405	234.134
20.605	236.321
20.805	239.055
21.005	241.242
21.205	243.429
21.405	245.616
21.606	248.350
21.805	250.537
22.005	252.724
22.205	254.911
22.405	0.000
22.605	0.000
22.805	0.000
