Motion Through Fluids Experiment Wed, Feb 12, 2020 10:47 AM
Time(sec)	Position(mm)
0.199	0.000
0.399	0.000
0.599	0.000
0.799	0.000
0.999	0.000
1.199	0.000
1.399	0.000
1.599	0.000
1.799	0.000
1.999	0.000
2.199	0.000
2.399	0.000
2.599	0.000
2.799	0.000
2.999	0.000
3.199	0.675
3.399	1.768
3.599	3.409
3.799	4.502
3.999	6.142
4.199	7.236
4.400	8.876
4.599	9.969
4.799	11.610
4.999	13.250
5.199	14.343
5.399	15.984
5.599	17.077
5.799	18.717
5.999	19.811
6.199	21.451
6.399	23.091
6.599	24.185
6.799	25.825
6.999	26.918
7.199	28.559
7.399	29.652
7.599	31.292
7.799	32.386
7.999	34.026
8.199	35.120
8.399	36.760
8.599	37.853
8.799	39.494
8.999	40.587
9.199	42.227
9.399	43.321
9.599	44.961
9.799	46.601
9.999	47.695
10.199	49.335
10.399	50.428
10.599	52.069
10.799	53.162
10.999	54.802
11.199	55.896
11.399	57.536
11.599	58.630
11.799	60.270
11.999	61.910
12.199	63.004
12.399	64.644
12.599	65.737
12.799	67.378
12.999	68.471
13.199	70.111
13.399	71.205
13.599	72.845
13.799	73.938
13.999	75.579
14.199	76.672
14.399	78.312
14.599	79.406
14.799	81.046
14.999	82.140
15.199	83.780
15.399	84.873
15.599	86.514
15.799	87.607
15.999	89.247
16.199	90.887
16.399	91.981
16.599	93.621
16.799	94.715
16.999	96.355
17.199	97.448
17.399	99.089
17.599	100.182
17.799	101.822
17.999	102.916
18.199	104.556
18.399	105.650
18.599	107.290
18.799	108.383
18.999	110.024
19.199	111.117
19.399	112.757
19.599	113.851
19.799	115.491
19.999	116.584
20.199	118.225
20.399	119.865
20.599	120.958
20.799	122.052
20.999	123.692
21.199	125.332
21.399	126.426
21.599	128.066
21.799	129.160
21.999	130.800
22.199	131.893
22.399	133.533
22.599	134.627
22.800	136.267
22.999	137.361
23.199	139.001
23.399	140.094
23.600	141.735
23.799	142.828
23.999	144.468
24.200	145.562
24.399	147.202
24.599	148.296
24.799	149.936
24.999	151.029
25.199	152.670
25.399	153.763
25.599	155.403
25.800	156.497
25.999	158.137
26.199	159.230
26.399	160.871
26.599	162.511
26.799	163.604
26.999	165.245
27.200	166.338
27.399	167.978
27.599	169.072
27.799	170.712
27.999	171.806
28.199	173.446
28.399	174.539
28.599	176.179
28.799	177.273
28.999	178.913
29.199	180.007
29.399	181.647
29.599	182.740
29.799	184.381
29.999	185.474
30.199	187.114
30.400	188.208
30.599	189.848
30.800	190.942
30.999	192.582
31.199	193.675
31.399	195.316
31.599	196.409
31.799	198.049
31.999	199.143
32.199	200.783
32.399	201.876
32.599	203.517
32.799	204.610
32.999	206.250
33.199	207.344
33.399	208.984
33.599	210.078
33.799	211.718
33.999	212.811
34.199	214.452
34.399	215.545
34.599	217.185
34.799	218.279
34.999	219.919
35.199	221.012
35.399	222.653
35.599	223.746
35.800	225.386
35.999	226.480
36.199	228.120
36.399	229.214
36.600	230.854
36.800	231.947
36.999	233.588
37.200	234.681
37.399	236.321
37.599	237.415
37.799	239.055
37.999	240.148
38.199	241.789
38.399	242.882
38.599	244.522
38.800	245.616
38.999	246.709
39.199	248.350
39.399	249.443
39.599	251.083
39.799	252.177
39.999	253.817
40.199	254.911
40.399	0.000
40.599	0.000
40.799	0.000
40.999	0.000
41.199	0.000
41.399	0.000
41.599	0.000
41.799	0.000
