Motion Through Fluids Experiment Wed, Feb 12, 2020 10:06 AM
Time(sec)	Position(mm)
0.026	1.222
0.126	11.063
0.176	17.077
0.226	23.638
0.276	30.199
0.327	36.760
0.376	43.321
0.426	50.428
0.476	57.536
0.526	64.644
0.576	72.298
0.626	79.406
0.676	87.060
0.726	94.715
0.776	102.369
0.826	110.024
0.876	117.678
0.926	125.332
0.976	132.987
1.026	141.188
1.076	148.842
1.126	156.497
1.176	164.698
1.226	172.352
1.276	180.553
1.326	188.208
1.376	196.409
1.426	204.063
1.476	212.265
1.526	219.919
1.576	227.573
1.626	234.681
1.676	243.976
1.726	251.630
1.777	0.000
1.826	0.000
1.876	0.000
1.926	0.000
1.976	0.000
2.026	0.000
2.076	0.000
