Motion Through Fluids Experiment Wed, Feb 12, 2020 10:06 AM
Time(sec)	Position(mm)
0.030	35.666
0.130	50.428
0.230	65.191
0.330	79.953
0.380	87.607
0.430	95.261
0.480	102.916
0.530	111.117
0.580	118.771
0.630	126.426
0.680	134.627
0.730	142.281
0.780	150.483
0.830	158.137
0.880	166.338
0.930	173.992
0.980	182.194
1.030	189.848
1.080	198.049
1.130	205.704
1.180	213.358
1.230	221.559
1.280	229.214
1.330	236.868
1.380	244.522
1.430	252.724
1.480	0.000
1.530	0.000
1.580	0.000
1.630	0.000
1.680	0.000
1.730	0.000
1.780	0.000
1.830	0.000
1.880	0.000
1.930	0.000
1.980	0.000
