Motion Through Fluids Experiment Wed, Feb 12, 2020 10:15 AM
Time(sec)	Position(mm)
0.004	0.000
0.054	0.000
0.104	0.000
0.154	0.000
0.204	1.768
0.254	6.689
0.304	11.063
0.354	16.530
0.404	21.451
0.454	26.918
0.504	31.292
0.554	36.760
0.604	42.227
0.654	47.148
0.704	52.615
0.754	58.083
0.804	63.550
0.854	69.018
0.904	74.485
0.954	79.953
1.004	85.420
1.054	90.887
1.104	96.355
1.154	101.276
1.204	106.743
1.254	112.210
1.304	117.678
1.354	123.145
1.404	128.613
1.454	134.080
1.504	139.548
1.554	145.015
1.604	150.483
1.654	155.950
1.704	160.871
1.754	166.338
1.804	171.806
1.854	177.273
1.904	182.740
1.954	188.208
2.004	193.675
2.054	199.143
2.104	204.063
2.154	209.531
2.204	214.998
2.254	220.466
2.304	225.386
2.354	230.854
2.404	236.321
2.454	241.789
2.504	246.709
2.554	252.177
2.604	0.000
2.654	0.000
2.704	0.000
2.754	0.000
2.804	0.000
2.854	0.000
2.904	0.000
2.954	0.000
3.004	0.000
3.054	0.000
3.104	0.000
3.154	0.000
3.204	0.000
3.254	0.000
3.304	0.000
3.354	0.000
3.404	0.000
3.454	0.000
3.504	0.000
3.554	0.000
3.604	0.000
3.654	0.000
3.704	0.000
3.754	0.000
3.804	0.000
3.854	0.000
3.904	0.000
3.954	0.000
4.004	0.000
4.054	0.000
4.104	0.000
4.154	0.000
4.204	0.000
4.254	0.000
4.304	0.000
4.354	0.000
4.404	0.000
4.454	0.000
4.504	0.000
4.554	0.000
4.604	0.000
4.654	0.000
4.704	0.000
