Motion Through Fluids Experiment Wed, Feb 12, 2020 10:21 AM
Time(sec)	Position(mm)
0.013	0.000
0.063	0.000
0.113	1.768
0.163	6.142
0.213	11.063
0.263	15.437
0.313	20.358
0.363	25.278
0.415	29.652
0.463	34.573
0.513	38.947
0.563	43.868
0.613	48.788
0.663	53.162
0.713	58.083
0.763	62.457
0.813	67.378
0.863	71.751
0.913	76.672
0.963	81.046
1.013	85.967
1.063	90.341
1.113	95.261
1.163	99.635
1.213	104.556
1.263	109.477
1.313	113.851
1.363	118.225
1.413	123.145
1.463	127.519
1.513	132.440
1.563	136.814
1.613	141.735
1.663	146.655
1.713	151.029
1.764	155.950
1.813	159.777
1.863	164.698
1.913	169.072
1.963	173.992
2.013	178.913
2.063	183.287
2.113	188.208
2.163	192.582
2.213	197.502
2.263	202.423
2.313	206.797
2.363	211.718
2.413	216.638
2.463	221.012
2.513	225.933
2.563	230.854
2.613	235.228
2.663	240.148
2.713	244.522
2.763	249.443
2.813	254.364
2.863	0.000
2.913	0.000
2.963	0.000
3.013	0.000
3.063	0.000
3.113	0.000
3.163	0.000
3.213	0.000
